seller_city,seller_state,order_id,review_score,review_creation_date,product_name_lenght,product_description_lenght,product_photos_qty
brasilia,DF,38fc895ea0a2aa253a46a6fdbb65aaf5,5,2018-08-10,63,254,2
brasilia,DF,b630c986ea5c14749196132407a05589,5,2018-07-04,33,471,2
sao ludgero,SC,c5a47daec61dfde191baca4e5c10668f,4,2018-05-08,56,509,4
sao jose,SC,327eb42fa668b532239f44713415a37a,3,2018-04-26,47,980,4
piracicaba,SP,4cd9478b63edacb631dcf780b036b157,4,2018-07-01,38,1701,2
porto alegre,RS,6d2fbf76787b9f35b1f3c3835a8a6a01,5,2018-08-04,20,866,3
congonhal,MG,934e266bc66e8ed5bba8266dfde60175,1,2018-05-22,38,1176,3
belo horizonte,MG,d9aefa5d4ccd369c783f5121e069a470,5,2018-05-11,42,303,2
belo horizonte,MG,af168723acee7d4de0144ad5361f547d,3,2018-07-07,60,1972,2
santo andre,SP,c1ba0776bb79a0826691352f8d6ea4e0,5,2018-07-12,60,330,1
sao paulo,SP,109294a0d68947b6b49c0a59a8f951cd,4,2018-06-17,53,3218,5
osasco,SP,4a359800ff0688de3eabc92972987238,5,2018-05-11,55,410,2
valinhos,SP,e2f6cc7f7084110fd5473cfdae918307,5,2018-05-01,57,311,1
joinville,SC,b4138bbc55ffe9ddeb824f7e3068fc50,4,2018-07-03,50,509,4
guaruja,SP,384f8660f6bc7396d5a875b60285c2dd,5,2018-08-24,53,1291,2
saquarema,RJ,f9dba21dfbb520ed911cebc91688195e,5,2018-05-11,60,402,2
barra velha,SC,00b12f4674177ef40c4bdb034138c843,5,2018-07-21,51,427,2
petropolis,RJ,0bb77e62d791c3e5b009815ac19825be,5,2018-05-24,58,1252,1
santo antonio da patrulha,RS,bf6a2df6b944199274254f8bb0159ec3,5,2018-08-21,49,488,3
ponta grossa,PR,9537e35e835d4ae6b7b219b8b2e36817,5,2018-08-28,50,423,4
santana de parnaiba,SP,7beece85fb714c481300a516c9fb1ade,5,2018-05-20,47,956,1
santo andre,SP,c1387d81aa7018f9ecca06376610696d,4,2018-05-11,59,144,1
sao carlos,SP,00f251b943aba645652c7138e4716fee,5,2018-08-21,51,1069,1
osasco,SP,a41bb2f937139613df86a333fdbaa7c9,5,2018-08-24,50,554,3
ibitinga,SP,b636037a882bd588f102f9f3fc29b2ca,5,2018-08-08,41,92,1
sao paulo,SP,0ec7299d65db721d9a6b5c95c2ff494a,5,2018-06-09,43,198,2
sao jose dos pinhais,PR,635607b37cf3b851396ef5a76be8b89f,5,2018-08-07,50,255,2
sao paulo,SP,e87c331d21a3fb3085079a9b32f4a56c,5,2018-06-19,33,200,1
barueri,SP,2a743fc30067036b7910663ced5a0b7b,2,2018-06-14,55,1067,1
osasco,SP,f0fb77580603e4f955c60d3fe023553f,5,2018-08-03,60,1543,6
caxias do sul,SP,6e8e751584b3e3141e3e3c39f71408c2,5,2018-07-12,55,1441,1
sao paulo,SP,ab6e1678559b60b6e6a7db4837d6664d,5,2018-07-28,56,489,2
joinville,SC,009838529bb913846ab6670d22865381,3,2018-06-27,57,992,3
araguari,MG,93aa1607392862dacfb4b54774480f1d,5,2018-05-10,54,339,1
contagem,MG,4433ebc14c69e56090cb4e96d574d9c3,4,2018-05-15,54,463,1
jaragua do sul,SC,54822c94cce4ceb64eb08bbb05fa8fea,5,2018-05-12,40,1469,3
ibitinga,SP,efd5eba320d140f8659440d74a81fc90,5,2018-05-08,58,587,3
sao bernardo do campo,SP,3d2919530aea3496b5773b143910145f,5,2018-08-21,52,150,1
lages - sc,SC,fc746d47c955d1db95910a81fb288e23,5,2018-05-19,51,484,1
bento goncalves,RS,de4090fd9b7900d46323b0c7c36b7128,5,2018-05-12,39,430,1
catanduva,SP,21dd600edd64e225d04af3670d1803b3,5,2018-05-15,22,1313,1
ribeirao pires,SP,24125310335475b73015f74ec4327c2a,5,2018-07-27,37,1168,1
sao paulo,SP,38d11c87fc409de31e930084abb0c7a4,5,2018-08-25,39,1146,1
jaboticabal,SP,14a05c02d483800864e5c19a3a7f0ee2,2,2018-08-31,42,671,1
echapora,SP,07d60a76803db63f0ca6708011e8cf9b,5,2018-04-29,49,460,2
cotia,SP,80fcac926630a1f8dac09acd966434ed,1,2018-05-01,59,2367,3
rio do sul,SC,e95cac7e9ed8e477d726d47f72f420c6,4,2018-05-16,54,381,2
sao paulo,SP,6e28885b3b46ef6ae9dfa9209e1c8c48,5,2018-06-20,50,607,1
sorocaba,SP,724c7b9d5d226631f82c0c09a9f51685,5,2018-07-06,59,1750,3
rio de janeiro,RJ,c3a937f97910c3602c1e4cdb4b951b1e,4,2018-07-11,55,163,2
pradopolis,SP,21717aa89515f9499d2c94578f7848f8,5,2018-06-23,43,101,1
rio de janeiro,RJ,25be8e0ff01817a8a96f61605da2e447,4,2018-08-31,60,2497,1
sao paulo,SP,208215ef3138230b69b97f3fb415e9bc,1,2018-05-24,60,1146,6
itaborai,RJ,41a48f4dc75f01b16dfa7e32cb456ebc,1,2018-04-27,57,900,4
sao paulo,SP,5bb8d2fbca419676d395687e28f5263b,5,2018-07-24,49,319,1
mirassol,SP,49935c2c36ceb474c290a1987bbb941e,3,2018-07-24,55,1186,2
santo andre,SP,4ab8b7a8e23908984157974ae4ad6436,4,2018-06-02,58,703,6
birigui,SP,b8615aa7e6248212cab23e120279acf2,4,2018-06-16,50,361,1
sao paulo,SP,4cae9d93ca1f1266e9ddfc79f7ff85db,4,2018-08-31,58,899,2
belo horizonte,MG,4d59391202a2a67c2e2fea6f349a67f5,5,2018-08-18,49,701,1
rio de janeiro,RJ,a0727c663f544d6618123c94c779f29b,5,2018-06-27,47,1405,3
rio de janeiro,RJ,04c28d1572e04b2b3e5b80ca7559e750,1,2018-06-21,59,504,3
ibitinga,SP,f0b673967b0be0bfcc14490d3d1842a8,5,2018-08-14,57,276,4
sao paulo,SP,32efd401773730f7d0d1c5ae2b841465,5,2018-07-05,46,287,1
sao paulo,SP,d1ec61b50c7780944fab32ad8b873c85,5,2018-07-21,46,1039,1
assis,SP,2927b6be262c5528b8135e5d330c00f9,4,2018-06-05,56,663,4
jaguariuna,SP,e0ef63a06438a4f6dfa047fc41217f8e,5,2018-08-21,39,170,1
araraquara,SP,4d5779c1406a8459afe82091e0dae935,5,2018-08-14,53,794,4
macae,RJ,b744841b6a754e51042b8abcab208ffe,4,2018-08-03,56,414,1
salto,SP,2c06e4f488be0af43964ad30b123034e,5,2018-06-09,36,312,2
rio claro,SP,6ff0c72cd26c7ea730935abff483f2e8,5,2018-08-17,53,425,1
londrina,PR,5b305608c98ca66ced71cde019aba8e9,1,2018-05-22,58,918,6
sao paulo,SP,544f1ebc2ee31c6f923a4feba2e0677e,5,2018-04-26,36,617,1
ribeirao preto,SP,6c5d1e03493316b72304f07834a03325,1,2018-07-13,41,270,1
rio de janeiro,RN,628365400ec276cda9dbce783340e906,5,2018-06-30,22,275,1
tres coracoes,MG,b26281af4e5c3a50b10887f626ee883f,1,2018-05-05,58,381,2
sao paulo,SP,47f05ae89d6bcb551be15cba2f14352f,5,2018-07-13,58,223,1
nhandeara,SP,b170f1243a620b65504157b83f69a2e0,5,2018-05-09,63,1930,9
ibitinga,SP,56c79c2be1ceff5839d56e340e847833,2,2018-05-08,51,244,1
sao paulo,SP,e86dc64373eaaf9fc1d9d58bfce38f2f,1,2018-05-18,56,733,3
brasilia,DF,7e61f390f3e0aa3b112e56091d2b9ee3,1,2018-08-30,52,1049,3
barueri,SP,f39dca700fa8e7f2ccbdf7a9c7f8af1e,5,2018-05-03,51,1212,1
sao paulo,SP,c14280403027095676ce13109d5e2864,3,2018-04-17,30,547,1
orleans,SC,1a1b532e9fc48a702923b8ef014735e9,5,2018-07-11,53,1398,1
brasilia,DF,6f7e43972ed0a7fdbf29edf7cde6d2ad,5,2018-08-16,34,160,1
sao paulo,SP,ab589d1a6095c7f435a62f503146e1cf,5,2018-05-12,57,245,2
sao paulo,SP,470ae997eff151effb3503add146880b,5,2018-06-07,50,1254,2
cuiaba,MT,d8721b9f395286c3b43ff47a250ad40a,2,2018-08-05,59,1431,6
sao carlos,SP,8bab0782e1f2a9fdc338a883c124f75b,5,2018-08-03,53,261,2
sao paulo,SP,55af89bd3634844abc96b00c4caa76a5,5,2018-08-11,60,884,1
sao paulo,SP,67816bc8a83ed1ca09b99c2512cbedb3,4,2018-07-07,52,68,7
rio de janeiro,RJ,2709ee9d4fc363bd22b6bc782fa3668f,2,2018-06-06,30,410,4
formosa do oeste,PR,1fc6cc3c8938adb70a710cc1b701337b,4,2018-06-28,48,303,3
rio de janeiro,RJ,fedc85bb24209961b595782f2c259c4a,5,2018-07-21,59,943,1
santos,SP,2c9bc10b715272770d51948b929485f7,5,2018-06-01,49,540,4
sao paulo,SP,f82746601c1969d00d63e14a786f322d,5,2018-08-30,53,222,1
santa terezinha de goias,GO,71bd2b49a4e92c385e1c668b56aea592,5,2018-08-23,56,235,1
curitiba,PR,e57e73a70eae13788da4c7fd3b96ed0b,1,2018-05-09,50,329,2
sao paulo,SP,c83f1117bc97d473fec6e5d6ff5dce92,5,2018-08-16,55,144,1
arvorezinha,RS,26466061ecf0630db081aea8581b871b,1,2018-06-15,59,797,2
sao paulo,SP,37975a7ef83d81d3c78d1920bb923f8b,4,2018-05-22,53,439,5
ribeirao preto,SP,d3e737e1eef1aa87ad5c92bcbf7396dc,4,2018-04-26,60,438,2
guiricema,MG,64ba7f5f2b493323d5dae1634f812cb5,5,2018-06-26,55,852,1
caxias do sul,RS,db10e5b34779ebe39e1bc929469eb841,1,2018-08-16,39,805,3
caruaru,PE,ce101239d4d3c22d02503fc803c73be6,5,2018-05-17,52,420,2
curitiba,PR,04b2afb6447774881079872788d97883,5,2018-04-27,58,386,1
franca,SP,8fde182213914d24ed0bb9d4b02371a0,5,2018-06-04,50,273,1
curitiba,PR,d14460d3fa8f54b8f0f7befd11820202,5,2018-07-14,43,572,2
salvador,BA,bdb52fcc684d212ff85ba88d4acc3b7b,5,2018-08-05,52,700,2
diadema,SP,5cafde3fdf1a583c0a5d7fdc7b526ad1,3,2018-07-12,47,1548,3
itaquaquecetuba,SP,44150e408d0bd0a5341db3e4f11a98d8,5,2018-08-16,55,448,1
lencois paulista,SP,5200457b47c6543e5756c85ab87b4f2f,5,2018-05-03,51,410,2
guarulhos,SP,e54709b9ea953fc92e1964e0772eecae,5,2018-05-01,59,257,1
carapicuiba,SP,99e5f0c685ca94e5a1c7134b1898bb1a,5,2018-08-14,51,863,1
uruacu,GO,10251ca016384afb8d4954da5fb3b419,5,2018-08-07,29,290,1
itajai,SC,24040b0114230e6113ea96d0161ff4a9,5,2018-05-25,31,680,1
sao paulo,SP,2c1a279890c82005e7d51b4717cc0080,4,2018-05-22,57,785,4
sao paulo,SP,b5bdf19b8bbc9d7daf5eb8f087a8895e,5,2018-08-30,51,244,1
sao paulo,SP,2daee070f2042c8b7a8e9fdde778a31a,5,2018-07-12,50,2220,1
curitiba,PR,25a93076658202368073fb3697a3f4ef,3,2018-05-15,53,599,2
loanda,PR,1a65d6928b5ee7a7afb52dad3ccdf11c,5,2018-05-22,57,649,1
sao paulo,SP,e995d882ff7b28ef28cd7e87737fccec,5,2018-07-05,30,401,3
sao paulo,SP,28f079a1f1568fda3a17841d6fe48390,4,2018-06-24,35,907,3
sao paulo,SP,f0f7dc2419ca55c30f76a386584b9980,4,2018-08-28,38,390,1
maringa,PR,0f9db6b2900040157d27f21ae0f3d86d,3,2018-08-09,55,918,6
sao paulo,SP,32f0e397d36f01e44c8c257ceaecf508,1,2018-08-10,48,382,5
sao paulo,SP,a0d3b62390e72dcfd8fc6b29c1af0061,5,2018-08-18,32,42,1
belo horizonte,MG,d0fcb0e64631dcf3a108b1837a69d9a5,4,2018-08-15,47,764,1
ferraz de vasconcelos,SP,5410087995e1ebb53c26ce8e52ff29e0,5,2018-07-21,52,406,1
sao paulo,SP,800d19e2eed430cbd8e9bcb12087794b,5,2018-08-15,50,198,2
limeira,SP,3d61e9970cfb1669c490645d74bf7405,5,2018-07-28,50,853,1
santos,SP,ee2c523648f8d3fddba9f09bc16a6490,5,2018-04-27,59,776,6
barueri,SP,979fdfc1766453994df684ee9637ec80,1,2018-07-26,50,2913,3
sao paulo,SP,6e35fab28a9f5bb616818cda6eabbd71,5,2018-06-16,53,585,1
claudio,MG,6ef6c0a23f7f0b6bbe9dfbc5f22b56c6,5,2018-08-28,48,1063,2
ribeirao preto,SP,d888f4591d9dd27281a58331a6a9db93,5,2018-08-17,47,181,1
niteroi,RJ,03350e641d4d30d50b38c2e3030cd394,5,2018-08-19,42,369,1
osvaldo cruz,SP,d60a89ab9bc1e68834465ae630c3343e,5,2018-04-26,25,274,1
carapicuiba,SP,cb64fe77f78101ce43bdffc7be77c9a4,4,2018-05-10,50,744,1
osasco,SP,0f758f5895563ce1892043bc8f17dda1,4,2018-06-21,44,2395,1
sao goncalo,RJ,aea6f638ec66f7a8db1a9216ddaaff2b,5,2018-08-23,59,470,2
jaciara,MT,189ba95d81c72d1250e45df72f8acaa4,1,2018-05-23,39,422,1
balenario camboriu,SC,ac81fb6face0af1b93e2a059ad7b9f23,5,2018-07-12,59,413,3
sao paulo,SP,c8f2cb814f847fff855420ba64c42282,5,2018-04-28,37,374,1
timbo,SC,a5a854651cfe0d8da9f1669266fd4063,1,2018-05-15,22,388,3
ribeirao preto,SP,a07589bd08c0f6f6e01dad0a425aa352,5,2018-06-28,59,162,1
sao paulo,SP,c1c46208ebd1440f4da5b7197c544d6c,5,2018-08-28,59,605,5
jacutinga,RS,71e99de0514a59f2e5ac80e89773802a,3,2018-06-19,52,234,4
fortaleza,CE,92c6c7adf4c5b367d2da122056510dbd,5,2018-04-26,57,272,1
guarulhos,SP,a014ab9c0e9c112b791293dc9ec38320,3,2018-07-24,55,1029,1
guarulhos,SP,344aec04212ff4fb3b73f86f50ad49b9,5,2018-05-24,60,312,4
ferraz de  vasconcelos,SP,d7bfe7ef14d1debee523b680ae421489,5,2018-05-16,60,1068,3
mirandopolis,SP,f6abdf036dbfaa78fa40d68f83a20968,5,2018-08-21,63,244,4
joinville,SC,785e849a702dab4672f0febcf4c1afc5,5,2018-04-27,48,645,1
belo horizonte,MG,18c1040bac4b6a31a10b6d4201072ce2,5,2018-05-18,50,268,5
bauru,SP,3c91fb2601d8d06e7e3c9ee4f79060c0,4,2018-08-17,43,2148,2
jacarei,SP,363814e98fb75811e4465c3b7fc84ca5,4,2018-06-14,47,154,3
itu,SP,c54d822dcfd0f7c672574a607c9403b3,5,2018-06-05,48,501,1
laranjeiras do sul,SP,f099a4bf3c8c87b391cbb899f02d8e47,5,2018-08-30,59,209,1
sao paulo,SP,aaf899ac4389cbf67485784ac38fce72,5,2018-05-19,59,640,1
videira,SC,96cf7ecd8c676d61be261ffdda90b008,5,2018-07-21,58,655,5
florianopolis,SC,9075ecab41fdbe2edaae75cfb6cb09b2,5,2018-06-07,55,315,2
itapecerica da serra,SP,56805b4cf0ebc9cd9f7619783cae47e3,1,2018-07-27,52,1290,3
mamanguape,PB,125380a45478fae5bd5466553f2ed928,3,2018-08-29,58,443,2
sao paulo,SP,e94d8ace7446337ba22419b2218a8303,5,2018-05-19,55,224,2
ponte nova,MG,0fe3f84cf0535ad78f10115634d7ed88,5,2018-06-08,50,281,4
goioere,SP,1452442fe3e8cc6d3a1a8d8fc92dc019,5,2018-05-01,57,74,1
pederneiras,SP,d64d6b004a4ffd419003fc0a128c1c50,5,2018-07-31,45,1003,2
itapevi,SP,6c355e2913545fa6f72c40cbca57729e,4,2018-08-12,32,1274,1
goiania,GO,5a42abf0eee65d3a1e361aa49561a521,5,2018-08-22,57,1532,2
sao paulo,SP,3223fda0de8d832b8e1224f6add1245d,5,2018-05-09,47,1026,2
rio de janeiro,RJ,68743b7445ab5ce45c40b8490752c44d,1,2018-05-31,54,261,6
sao paulo,SP,476b812a7e4fc972646eb390517bddcb,5,2018-08-31,56,1395,7
sao paulo,SP,d10eafa208521dc30796e6a26099b6a6,5,2018-07-26,60,537,1
caxias do sul,RS,7c927a3dfb1af7e87c6a262fc4b0a8fd,5,2018-07-25,55,457,2
sao bernardo do campo,SP,adb029a9e8ea33a3451d05c43f495905,5,2018-05-03,60,609,2
campina grande,PB,f8631b34c3dfdad3833c611007f62455,1,2018-05-03,52,1113,1
estancia velha,RS,43887f3ff49629a7d608220b3a832e5f,5,2018-05-26,48,135,1
resende,RJ,f9caecc41dc2d3c623aa7b362611fdd2,1,2018-08-18,57,1298,1
jaragua do sul,SC,30524d6f42cc124d17d641b49e792b87,1,2018-08-17,43,215,1
sao paulo,SP,a16de84e54832907eaaa4084dd0d90d2,5,2018-08-15,29,1318,1
sao paulo,SP,a024d7476a847e0453984eecb8be6076,3,2018-08-23,23,146,3
rio de janeiro,RJ,dfa6eead1006319e9774de25417757a7,1,2018-06-10,59,1582,1
sao paulo,SP,e6fc62ef4617437d265bd9bef92cd9d3,5,2018-06-27,47,687,1
sao paulo,SP,627dd35dbc686a525aa1224e523d82f8,3,2018-08-04,53,155,2
florianopolis,SC,783b1d8d1782290b10a4d8633721e26f,5,2018-08-29,42,727,1
sorocaba,SP,22085be04a775c3ed4245c35bd9f822f,4,2018-06-05,54,3830,1
sao paulo,SP,8624511aa767a83ed91a47c158320964,1,2018-08-31,58,172,1
ribeirao preto,SP,cc6e97ae2828fbe0e3d687628b51c155,1,2018-04-25,32,195,1
sorocaba,SP,79f0fd0747eee58c3980cc9cdb2afbb1,1,2018-05-17,40,654,1
maua,SP,1fc6f36a09a4afd9024b0cf47d52924e,5,2018-08-01,44,421,1
bauru,SP,9c5921e983142d2f7a3416864c6e64bf,4,2018-06-27,59,251,1
bauru,SP,7af34335adbe8e29fa3ef500f9f2c270,3,2018-08-16,41,242,1
belo horizonte,MG,776ad95dfcf33ceaf3651251cc75e020,4,2018-05-10,51,1741,1
salto,SP,a6e9b80a7636eb8dd592dbb3e20d0a91,4,2018-06-12,31,432,1
goiania,GO,ba5fa5d6fe39ade3049fcbc2966fc82c,5,2018-08-14,53,527,2
caratinga,MG,9292f2ff747a4f8c6580fc8377bb1c8b,2,2018-05-26,51,1442,1
auriflama/sp,SP,decf73db7f53552bc92e1720be4f0995,5,2018-06-03,55,471,2
rio de janeiro,RJ,b2ac7b0754b724547abf07a172a45bf4,2,2018-08-16,40,338,1
franca,SP,b72afa4aad9d75e39c6edeb6141a3a7b,5,2018-08-03,56,173,1
cafelandia,SP,d4d225097cf7faefa475ca4af70f7fc4,5,2018-04-24,49,192,1
sao paulo,SP,134141b15902a79a3932a6f486de499a,4,2018-06-30,50,859,1
ribeirao preto,SP,790bb4bb687fbe180a7a4228aa2c00ba,5,2018-05-04,53,524,1
sao ludgero,SC,ba207c0bbc57d7da1d6ef7ebc895fec4,4,2018-06-26,29,566,2
uba,MG,a8b6cffc34d25d7c6dea874c364232f6,4,2018-07-28,53,1368,6
sao bernardo do campo,SP,ded23d37cdcc25b37b4473b7be770cb2,5,2018-08-08,52,424,1
sao paulo / sao paulo,SP,0d898acc80d3c7a150bd832ac4050c81,5,2018-08-28,50,852,1
ibitinga,SP,24b2d434709c901b14bca606ef51cecd,5,2018-08-10,37,621,5
maringa,PR,181ff95f97fee531c4afa9e882186f18,5,2018-06-28,58,1261,3
sao jose do rio preto,SP,9d39d357291a0e87c2c2816dabc0b23a,1,2018-05-25,57,1094,1
campinas,SP,f2b00200fa3b427fee60eb4fa811720b,4,2018-06-08,64,882,5
rio de janeiro,RJ,c89cc188bf7fe39307862cb3dd2d0234,5,2018-08-30,41,2261,1
porto ferreira,SP,36c048c109a2a9cedf85acc388be9f57,5,2018-05-18,28,453,1
tres coroas,RS,3a026b1e98a953d5e0e675d1593ad4af,5,2018-05-03,25,813,1
santo andre,SP,bb9a5a9d8a6ff80eabda95e3b78f0a45,1,2018-07-14,59,822,1
blumenau,SC,c6196dcf85530e6e2d9eb1b65d0d8e55,4,2018-08-01,53,579,1
santo andre,SP,4e08bdd0a71b43ba19f8c0a89c8ce665,2,2018-08-14,58,568,4
santo andre,SP,2b0b02914575b69cd6787aba9f79a73b,5,2018-08-01,58,1058,1
sao paulo,SP,3b842ff9ea0324f7726503cadd3c0db5,5,2018-08-25,32,1074,2
sao paulo,SP,86bb2a790fa5e4830a669e84e452ec3d,5,2018-08-24,46,1193,2
sao paulo,SP,89812ae1f27bd0baa142a3aa9ab5cb49,1,2018-08-29,51,443,1
blumenau,SC,1a6b9a764637acbc39e1624a2211f548,1,2018-08-24,27,1217,1
mogi das cruzes,SP,fbd969aaf28de4524d590d37fd10b894,5,2018-07-11,55,613,1
santos,SP,eb23b9ffbd39df83ffd9b7e7dd6a00fe,3,2018-08-31,54,404,4
osasco,SP,ff81a4d6caf5a04e852149c674789478,5,2018-05-04,43,447,2
jaci,SP,836f9b5adb4fe06d8980fb71fa06b691,1,2018-08-18,57,919,6
claudio,MG,2aff111da5413ddf7c6ab3717f366c06,1,2018-04-29,42,2819,1
goiania,GO,2cfad4578fbb3e63a43013da4edcf479,5,2018-06-20,57,623,4
laranjal paulista,SP,80aa84ef8c5e289d84d1735060740d61,4,2018-08-16,57,296,1
sorocaba,SP,a73d909b08c8058d8c1f42cdb2ada6ae,5,2018-06-02,51,1006,3
sao paulo,SP,093c11a6b12993f96cb7eaa348a3cd09,5,2018-06-23,49,153,1
americana,SP,4fd59975900e997c6785ec9da06787aa,5,2018-07-03,55,978,1
sao paulo,SP,d5e7941b8ab8bd693fa7249c9deb51d2,5,2018-05-26,42,431,1
sao paulo,SP,67119966e190b3d2f210b4f9117395f1,4,2018-07-05,19,200,1
rio de janeiro,RJ,ecc812c240c4f03824a3c5d7e3b6d351,4,2018-05-04,55,1475,1
sertanopolis,SP,3f003568147c785083d014edfba38c48,1,2018-07-03,48,606,2
ibitinga,SP,586c7a332a49228779ba40068cfeefb3,4,2018-05-16,25,211,1
apucarana,PR,0b3e1c68302779e0c67d97c5b8ed17f7,5,2018-08-09,60,1023,5
sao jose do rio preto,SP,5347a7f07b3387d2dd23be64b9ceea32,3,2018-06-03,53,813,4
rio de janeiro,RJ,9a503487f2a2141cfc220d61e43bd938,5,2018-08-15,49,607,1
maringa,PR,6ee3c291219411d6da1a62f056058fec,5,2018-06-08,54,364,1
sao paulo,SP,f36c9459416259961f2abc4fb50b67ac,4,2018-05-08,53,1373,4
guarulhos,SP,4c23c4164a5456caf473aa274df8b8b9,5,2018-06-28,40,234,1
penapolis,SP,1570fe1d14badec761d75ca93916bd6a,5,2018-06-08,39,772,1
niteroi,RJ,1f210038c217da04d2d88a6a59614f6a,5,2018-05-12,60,876,1
joinville,SC,c14d2e12b876b00738f6c4ae6329e1dc,1,2018-08-30,47,358,3
colombo,PR,d90f70746b61ed0bb476ddaae181afd8,5,2018-08-30,29,556,1
vicente de carvalho,SP,6cf42ae592086e2192284047cbfb4632,3,2018-08-22,57,954,4
mesquita,RJ,06ba77893723a9357f7e681bf336fb2c,5,2018-07-31,52,2515,1
londrina,PR,50b8c557d8dd265d4417824162c5888c,4,2018-06-16,56,646,1
sao pauo,SP,37c495d368ea5de5c25f2c5be7261ce8,5,2018-08-04,38,487,2
florianopolis,SC,aa63db7f2ec964c78e9099feae5b730e,5,2018-05-10,50,1342,3
belo horizonte,MG,e684eea8e657e070728db7f897e2c6ab,4,2018-07-05,49,600,2
sao paulo,SP,8855d9953624485990826e20fc9fc2e1,2,2018-08-04,50,295,1
cascavel,PR,6a096fcdddba23fd2ee58971dcd1654e,3,2018-05-25,37,2457,1
fazenda rio grande,PR,f15aaf3f7b6fbea7b5a454a4f9a38170,4,2018-07-11,58,1969,2
sao paulo,SP,ba9a7c92052d9666424a1c3cc395a5fb,2,2018-05-11,45,224,1
taboao da serra,SP,fe3ed37f8447cf637b8433c92451513a,3,2018-06-06,51,582,2
sao paulo,SP,4a47b1dd5336773ce156b344b1f2aff0,1,2018-05-18,36,940,2
rio de janeiro,RJ,d5a9bcd8e843bed6dc81287ccf656d3f,4,2018-06-29,52,1224,2
